Speaker,Text,Title,Page Number,Page Heading,Raw
,"It is well that we should again recall the principles, as set out  in its reports, upon which the Council conducts its operations.  We have striven in and out of season to remove the emphasis  from rescue to prevention and from prevention to construction.  We have sought, not to come out into the streets and with clamour-  ing to strike the evil on the head, for the effect of this policy has  been, whilst appearing to clear the evil away in one place, to  drive it to take deeper root underground and to spring up again  with tenfold more vigour elsewhere. We have rather set ourselves  to undermine the evil, to get at the deeper causes in character,  low ideals, ignorance, and false prudery. And in so doing we have  expressly desired to win the sympathy of the men and women  who are writing our books, are catering for public amusement,  edit or own our newspapers, and have under their control  the vast machinery for instantly and effectively reaching millions  of people. We have seen the folly of making enemies of those  who control these great and potent agencies by indiscriminate  denunciation, by standing upon a lofty pedestal and playing the  superior part, censoring, denouncing, imprisoning. The law  must be enforced and constantly pressed up to the level of public  opinion, and we have all along taken our share in doing that work.  But our deepest concern has been to help all those whose enter-  prises are calculated, when run on a low level, to foster the merely  animal nature, especially of the young, to raise the whole tone and  character of their industries, as well as to get rid of the obviously  indecent thing, which is by no means the greatest danger we  have to fear. ",,vi,,"It is well that we should again recall the principles, as set out  in its reports, upon which the Council conducts its operations.  We have striven in and out of season to remove the emphasis  from rescue to prevention and from prevention to construction.  We have sought, not to come out into the streets and with clamour-  ing to strike the evil on the head, for the effect of this policy has  been, whilst appearing to clear the evil away in one place, to  drive it to take deeper root underground and to spring up again  with tenfold more vigour elsewhere. We have rather set ourselves  to undermine the evil, to get at the deeper causes in character,  low ideals, ignorance, and false prudery. And in so doing we have  expressly desired to win the sympathy of the men and women  who are writing our books, are catering for public amusement,  edit or own our newspapers, and have under their control  the vast machinery for instantly and effectively reaching millions  of people. We have seen the folly of making enemies of those  who control these great and potent agencies by indiscriminate  denunciation, by standing upon a lofty pedestal and playing the  superior part, censoring, denouncing, imprisoning. The law  must be enforced and constantly pressed up to the level of public  opinion, and we have all along taken our share in doing that work.  But our deepest concern has been to help all those whose enter-  prises are calculated, when run on a low level, to foster the merely  animal nature, especially of the young, to raise the whole tone and  character of their industries, as well as to get rid of the obviously  indecent thing, which is by no means the greatest danger we  have to fear. "
,"Acting on these principles, we resolved to lose no opportunity  of dealing fully with the cinematograph. Our previous work  had prepared the way of approach. Although known to be stern ",,vi,,"Acting on these principles, we resolved to lose no opportunity  of dealing fully with the cinematograph. Our previous work  had prepared the way of approach. Although known to be stern "
,,,vii,INTRODUCTION,## p. vii  INTRODUCTION vii 
,"enemies of the evils we all deplore, we have happily been known  to be as earnestly desirous of encouraging the better thing, and  dealing fairly and honestly with all men. Our record, especially  our Commission on the Birth-Rate, and our principles brought  the leaders of the cinematograph trade to seek our help. Here  is a great invention with as yet unrealised possibilities for the  healthy amusement and education of the people, which is in-  fluencing the lives of the overwhelming majority of the inhabitants  of every city, town, and remote hamlet in the United Kingdom :  why should we stand aside, or merely denounce and alienate the  men who run it, and only call upon the police to censor it ? ",,vii,INTRODUCTION,"enemies of the evils we all deplore, we have happily been known  to be as earnestly desirous of encouraging the better thing, and  dealing fairly and honestly with all men. Our record, especially  our Commission on the Birth-Rate, and our principles brought  the leaders of the cinematograph trade to seek our help. Here  is a great invention with as yet unrealised possibilities for the  healthy amusement and education of the people, which is in-  fluencing the lives of the overwhelming majority of the inhabitants  of every city, town, and remote hamlet in the United Kingdom :  why should we stand aside, or merely denounce and alienate the  men who run it, and only call upon the police to censor it ? "
,"Much more than this was required of us. We were invited to  meet representatives of the whole trade, and to discuss frankly  the best means of getting rid of whatever evil elements existed,  and of meeting the demands of the best public opinion for a higher-  class programme, for more suitable exhibitions for children, for  the suppression of certain evils which had thrown themselves on  the cinema halls as they had on other places, and which the war  had accentuated, and also for the establishment of a censorship  which would give legitimate freedom for the proper development  of the cinematograph whilst rigorously cutting out undesirable  films. We met the trade, and fully and openly discussed these  proposals. We carefully studied the whole subject and situation,  discussing them with Government and educational authorities,  and we met many times to confer upon them. We saw that we  all ought to know much more about the character, extent, and  the influences of the cinematograph. There was clearly a strong  case for thorough and impartial inquiry. This the leaders of  the trade saw and heartily welcomed as the best means of obtaining  the results we all desire. But the Council resolved not to propose  the matter themselves, but to wait until the various sections of  the trade should themselves ask us to establish such an inquiry.  And in due course we received the following letter — ",,vii,INTRODUCTION,"Much more than this was required of us. We were invited to  meet representatives of the whole trade, and to discuss frankly  the best means of getting rid of whatever evil elements existed,  and of meeting the demands of the best public opinion for a higher-  class programme, for more suitable exhibitions for children, for  the suppression of certain evils which had thrown themselves on  the cinema halls as they had on other places, and which the war  had accentuated, and also for the establishment of a censorship  which would give legitimate freedom for the proper development  of the cinematograph whilst rigorously cutting out undesirable  films. We met the trade, and fully and openly discussed these  proposals. We carefully studied the whole subject and situation,  discussing them with Government and educational authorities,  and we met many times to confer upon them. We saw that we  all ought to know much more about the character, extent, and  the influences of the cinematograph. There was clearly a strong  case for thorough and impartial inquiry. This the leaders of  the trade saw and heartily welcomed as the best means of obtaining  the results we all desire. But the Council resolved not to propose  the matter themselves, but to wait until the various sections of  the trade should themselves ask us to establish such an inquiry.  And in due course we received the following letter — "
,,,vii,INTRODUCTION,"""199 Piccadilly, London, W. "
,,,vii,INTRODUCTION,""" November 24, 1916. "
,,,vii,INTRODUCTION,"""At a meeting yesterday of the Cinematograph Trade Council,  representing the Cinematograph Exhibitors' Association of Great  Britain and Ireland, Ltd., the Incorporated Association of  Kinematograph Manufacturers, Ltd., and the Kinematograph  Renters' Society of Great Britain and Ireland, Ltd., "
,,,vii,INTRODUCTION,""" It was Resolved : "
,"""That the National Council of Public Morals be requested to  institute an independent inquiry into the physical, social,  moral, and educational influence of the cinema, with special  reference to young people. ",,vii,INTRODUCTION,"""That the National Council of Public Morals be requested to  institute an independent inquiry into the physical, social,  moral, and educational influence of the cinema, with special  reference to young people. "
,,,vii,INTRODUCTION,"''{Signed) A. E. Newbould."" "
,"On receiving this the Council met, and resolved to accept the  invitation, subject to certain conditions, one being that our ",,vii,INTRODUCTION,"On receiving this the Council met, and resolved to accept the  invitation, subject to certain conditions, one being that our "
,,,viii,INTRODUCTION,## p. viii  viii INTRODUCTION 
,"inquiry should not be used in any way whatever to interfere with  the proposals^ for a Home Office censorship, and that it was  perfectly distinct from that question. That condition was  accepted by the trade, and has been loyally observed. We also  made it known at the Home Office when we mentioned the  matter of the proposed inquiry, together with the draft terms of  reference and suggested names of the Commissioners, and invited  them to appoint a representative. This was done some time  before the matter was finally decided and before any notice had  appeared in the Press. When it was also mentioned to the Home  Secretary, Mr. Herbert Samuel, M.P., at a private interview on  Friday, October 27, 1916, he expressed his pleasure that the  inquiry was to be undertaken. At subsequent meetings our  Council decided upon the persons who should form the Com-  mission, upon the exact terms of reference, and arranged all its  details. We did not invite any member of the trade to our  Council meetings. Our action was taken independently of them,  and the Commission was appointed solely by the Council, and  its report has been presented to and is here published by the  Council. The Council undertook the whole financial responsibility,  and has not asked for nor received any financial help from the  trade. ",,viii,INTRODUCTION,"inquiry should not be used in any way whatever to interfere with  the proposals^ for a Home Office censorship, and that it was  perfectly distinct from that question. That condition was  accepted by the trade, and has been loyally observed. We also  made it known at the Home Office when we mentioned the  matter of the proposed inquiry, together with the draft terms of  reference and suggested names of the Commissioners, and invited  them to appoint a representative. This was done some time  before the matter was finally decided and before any notice had  appeared in the Press. When it was also mentioned to the Home  Secretary, Mr. Herbert Samuel, M.P., at a private interview on  Friday, October 27, 1916, he expressed his pleasure that the  inquiry was to be undertaken. At subsequent meetings our  Council decided upon the persons who should form the Com-  mission, upon the exact terms of reference, and arranged all its  details. We did not invite any member of the trade to our  Council meetings. Our action was taken independently of them,  and the Commission was appointed solely by the Council, and  its report has been presented to and is here published by the  Council. The Council undertook the whole financial responsibility,  and has not asked for nor received any financial help from the  trade. "
,,,viii,INTRODUCTION,Members of the Commission 
,"The following are the Members of the Commission appointed  to undertake the Inquiry. It should be noticed that we included  three members of the trade, nominated, at our request, by the  Trade Council. ",,viii,INTRODUCTION,"The following are the Members of the Commission appointed  to undertake the Inquiry. It should be noticed that we included  three members of the trade, nominated, at our request, by the  Trade Council. "
,,,viii,INTRODUCTION,The Lord Bishop of Birmingham (President). 
,,,viii,INTRODUCTION,"Rev. Principal Alfred E. Garvie, M.A., D.D. (Vice-President). "
,,,viii,INTRODUCTION,"Lt.-General Sir R. S. S. Baden-Powell, K.C.V.O., K.C.B., LL.D. "
,,,viii,INTRODUCTION,"Sir W. F. Barrett, F.R.S. "
,,,viii,INTRODUCTION,"Rev. Carey Bonner (General Secretary, representing The Sunday  School Union). "
,,,viii,INTRODUCTION,"Sir Edward W. Brabrook, C.B. (President, Child Study Society,  London). "
,,,viii,INTRODUCTION,Right Rev. Monsignor Canon W. F. Brown. 
Mrs. Burgwin (late Superintendent Special Schools). ,,,viii,INTRODUCTION,Mrs. Burgwin (late Superintendent Special Schools). 
"Mr. C. W. Crook, B.A., B.Sc. (President, National Union of  Teachers). ",,,viii,INTRODUCTION,"Mr. C. W. Crook, B.A., B.Sc. (President, National Union of  Teachers). "
,,,viii,INTRODUCTION,Commissioner Adelaide Cox (representing the Salvation Army). 
"Mr. A. P. Graves, M.A. (representing and Chairman of the Repre-  sentative Managers of L.C.C. Elementary Schools). ",,,viii,INTRODUCTION,"Mr. A. P. Graves, M.A. (representing and Chairman of the Repre-  sentative Managers of L.C.C. Elementary Schools). "
,,,viii,INTRODUCTION,"The Rabbi Professor H. Gollancz, TM.A., D.Lit. (representing  the Jewish Community on the National Council). "
"Dr. C. W. Kimmins, M.A. (Chief Inspector under the Education  Committee of the London County Council). ",,,viii,INTRODUCTION,"Dr. C. W. Kimmins, M.A. (Chief Inspector under the Education  Committee of the London County Council). "
,^ We now know that these proposals had been virtually abandoned before  the Commission began its sittings. ,,viii,INTRODUCTION,^ We now know that these proposals had been virtually abandoned before  the Commission began its sittings. 
,,,ix,INTRODUCTION,## p. ix  INTRODUCTION ix 
"Mr. W. Gavazzi King (Secretary, Cinematograph Exhibitors' ",,,ix,INTRODUCTION,"Mr. W. Gavazzi King (Secretary, Cinematograph Exhibitors' "
,,,ix,INTRODUCTION,"Association).  Sir John Kirk, J.P. (Director of Ragged School Union).  Mr. Sidney Lamert (Director, London Film Company, Ltd.).  Rev. F. B. Meyer, B.A., D.D., \ representing the National Free  Rev. F. C. Spurr. / Chm-ch Council. "
"Mr. A. E. Newbould (Chairman, Cinematograph Exhibitors' ",,,ix,INTRODUCTION,"Mr. A. E. Newbould (Chairman, Cinematograph Exhibitors' "
,,,ix,INTRODUCTION,"Association; Director, Provincial \ Cinematograph Theatres, "
,,,ix,INTRODUCTION,"Ltd.).  Mr. T. P. O'Connor, M.P. (Chief Censor).  Dr. C. W. Saleeby, F.R.S., Ed. "
Dr Marif Stopfs 1 representing the Incorporated Society ,,,ix,INTRODUCTION,Dr Marif Stopfs 1 representing the Incorporated Society 
,,,ix,INTRODUCTION,"m'SIjepso^^^^^ -' ^""^^-^' Playwights and Com- "
,,,ix,INTRODUCTION,"J posers.  Rev. W. E. SooTHiLL, M.A. (representing the Young Men's "
,,,ix,INTRODUCTION,"Christian Association).  Rev. James Marchant, F.R.A.S., F.L.S., F.R.S., Ed. (Secretary). "
,,,ix,INTRODUCTION,Terms of Reference 
,,,ix,INTRODUCTION,The Terms of Reference to the Commission were as follows — 
,"1. To institute an inquiry into the physical, social, educational,  and moral influences of the cinema, with special reference to young  people; and into ",,ix,INTRODUCTION,"1. To institute an inquiry into the physical, social, educational,  and moral influences of the cinema, with special reference to young  people; and into "
,"2. The present position and future development of the cine-  matograph, with special reference to its social and educational  value and possibilities. ",,ix,INTRODUCTION,"2. The present position and future development of the cine-  matograph, with special reference to its social and educational  value and possibilities. "
,3. To investigate the nature and extent of the complaints which  have been made against cinematograph exhibitions. ,,ix,INTRODUCTION,3. To investigate the nature and extent of the complaints which  have been made against cinematograph exhibitions. 
,"4. To report to the National Council the evidence taken,  together with its findings and recommendations, which the Council  will publish. ",,ix,INTRODUCTION,"4. To report to the National Council the evidence taken,  together with its findings and recommendations, which the Council  will publish. "
,,,ix,INTRODUCTION,Acknowledgment and Thanks 
,"The National Council desires to tender grateful thanks to the  mtnesses, some of whom travelled long distances to give evidence,  and all of whom most willingly accepted the invitation of the  Commission to attend, and in some cases prepared elaborate precis  of their proposed evidence for the convenience of the Commis-  sioners. It is to be regretted that owing to the great shortage of  paper it has not been possible to publish all these precis in their  entirety. ",,ix,INTRODUCTION,"The National Council desires to tender grateful thanks to the  mtnesses, some of whom travelled long distances to give evidence,  and all of whom most willingly accepted the invitation of the  Commission to attend, and in some cases prepared elaborate precis  of their proposed evidence for the convenience of the Commis-  sioners. It is to be regretted that owing to the great shortage of  paper it has not been possible to publish all these precis in their  entirety. "
,"The Council desires to express its appreciation of the kindness  of His Majesty's Foreign Office and of the Commissioners of  H.M.'s Dominions in obtaining for their use the Regulations  of the Cinematograph Censorship in force in other countries;  of the Chief Constables of the United Kangdom whose valuable  memoranda appear in Appendix III ; and of the London County  Council for allowing its Chief Inspector, Dr. C. W. Kimmins, M.A.,  to serve on the Commission, and for sending a representative of its  Licensing Committee to give evidence before the Commission. ",,ix,INTRODUCTION,"The Council desires to express its appreciation of the kindness  of His Majesty's Foreign Office and of the Commissioners of  H.M.'s Dominions in obtaining for their use the Regulations  of the Cinematograph Censorship in force in other countries;  of the Chief Constables of the United Kangdom whose valuable  memoranda appear in Appendix III ; and of the London County  Council for allowing its Chief Inspector, Dr. C. W. Kimmins, M.A.,  to serve on the Commission, and for sending a representative of its  Licensing Committee to give evidence before the Commission. "
,,,x,INTRODUCTION,## p. x  X INTRODUCTION 
,"The Council wishes to offer its warmest thanks to the National  Review Board of New York for undertaldng an inquiry on their  behalf into the effect of Cinematograph Exhibitions upon Juvenile  Delinquency in the United States, and for offering to send a  representative to England to confer with the Commission. ",,x,INTRODUCTION,"The Council wishes to offer its warmest thanks to the National  Review Board of New York for undertaldng an inquiry on their  behalf into the effect of Cinematograph Exhibitions upon Juvenile  Delinquency in the United States, and for offering to send a  representative to England to confer with the Commission. "
,"The Cinematograph Trades Council has rendered every assist-  ance in its power, has produced all documents and films necessary  to the inquiry, has freely answered every request for information,  and its officials have willingly submitted to extensive cross-  examination. For this assistance the Council desires to offer  its best thanks ; and in particular to Mr. A. E. Newbould, Chairman  of the Exhibitors' Association, who has rendered conspicuous  public service in working for the highest interest of the industry  and the country. ",,x,INTRODUCTION,"The Cinematograph Trades Council has rendered every assist-  ance in its power, has produced all documents and films necessary  to the inquiry, has freely answered every request for information,  and its officials have willingly submitted to extensive cross-  examination. For this assistance the Council desires to offer  its best thanks ; and in particular to Mr. A. E. Newbould, Chairman  of the Exhibitors' Association, who has rendered conspicuous  public service in working for the highest interest of the industry  and the country. "
,"The cordial thanks of the National Council are tendered to  the Council of the Institute of Civil Engineers for their generosity  in placing their excellent Council Chamber at the disposal of  the Commission for its sittings ; and to Mr. J. D. Tippett for the  use of his private theatre for the inspection of films and posters  kindly collected at considerable trouble by Mr. F. R. Goodwin.  The Rev. T. M. Thornton has gladly and freely assisted the  Commission in many ways, for which the Commission and Council  are very thankful. ",,x,INTRODUCTION,"The cordial thanks of the National Council are tendered to  the Council of the Institute of Civil Engineers for their generosity  in placing their excellent Council Chamber at the disposal of  the Commission for its sittings ; and to Mr. J. D. Tippett for the  use of his private theatre for the inspection of films and posters  kindly collected at considerable trouble by Mr. F. R. Goodwin.  The Rev. T. M. Thornton has gladly and freely assisted the  Commission in many ways, for which the Commission and Council  are very thankful. "
,"Finally, the National Council would respectfully beg to be  allowed to express its profound gratitude to the President the  Lord Bishop of Birmingham; to the Vice-President the Rev.  Principal A. E. Garvie, M.A., D.D., and to every Member of the  Commission for their eminent services whole-heartedly given to  this extensive and difficult investigation, the value of which we  believe will be gladly acknowledged by the whole nation.^  On behalf of the National Council, ",,x,INTRODUCTION,"Finally, the National Council would respectfully beg to be  allowed to express its profound gratitude to the President the  Lord Bishop of Birmingham; to the Vice-President the Rev.  Principal A. E. Garvie, M.A., D.D., and to every Member of the  Commission for their eminent services whole-heartedly given to  this extensive and difficult investigation, the value of which we  believe will be gladly acknowledged by the whole nation.^  On behalf of the National Council, "
,,,x,INTRODUCTION,"James Marchant, "
,,,x,INTRODUCTION,Director and Secretary. 
,,,x,INTRODUCTION,"20 Bedford Square, W.C.  July 16, 1917. "
,^ It has been decided to keep the Commission in being for the  purpose of furthering its recommendations and co-operating with  the Censor with respect to the Advisory Council. — J. M. ,,x,INTRODUCTION,^ It has been decided to keep the Commission in being for the  purpose of furthering its recommendations and co-operating with  the Censor with respect to the Advisory Council. — J. M. 
,,,xi,INTRODUCTION,## p. xi  LIST OF WITNESSES 
,,,xi,INTRODUCTION,"No, "
,,,xi,INTRODUCTION,Name 
,,,xi,INTRODUCTION, Page 
,,,xi,INTRODUCTION,1 
Mr. F. R. Goodwin. ,,,xi,INTRODUCTION,Mr. F. R. Goodwin. 
,,,xi,INTRODUCTION,Chauman of the Cinematograph 
,,,xi,INTRODUCTION,"1-28, "
,,,xi,INTRODUCTION,Exhibitors' Association (London 
,,,xi,INTRODUCTION,81-91 
,,,xi,INTRODUCTION,Branch). 
,,,xi,INTRODUCTION, 2 
Mr. J. G. Legge. ,,,xi,INTRODUCTION,Mr. J. G. Legge. 
,,,xi,INTRODUCTION,"Director of Education, Liverpool. "
,,,xi,INTRODUCTION,28-46 
,,,xi,INTRODUCTION,3 
Mr. Cecil Hepworth. ,,,xi,INTRODUCTION,Mr. Cecil Hepworth. 
,,,xi,INTRODUCTION,"Managing Director, Hepworth "
,,,xi,INTRODUCTION,"46-55, "
,,,xi,INTRODUCTION,Manufacturing Co. 
,,,xi,INTRODUCTION,74-80 
,,,xi,INTRODUCTION,4 
Mr. John D. Tippett. ,,,xi,INTRODUCTION,Mr. John D. Tippett. 
,,,xi,INTRODUCTION,"Managing Director of the Trans-  atlantic Film Co., Ltd. "
,,,xi,INTRODUCTION,56-74 
,,,xi,INTRODUCTION,5 
"Mr. W. p. Westell,  F.L.S. ",,,xi,INTRODUCTION,"Mr. W. p. Westell,  F.L.S. "
,,,xi,INTRODUCTION,Letchworth. 
,,,xi,INTRODUCTION,92-97 
,,,xi,INTRODUCTION,6 
"Mr. N. Bishop Harman, ",,,xi,INTRODUCTION,"Mr. N. Bishop Harman, "
,,,xi,INTRODUCTION,Senior Ophthalmic Surgeon to the 
,,,xi,INTRODUCTION,"97-104, "
,," M.A., M.B., F.R.C.S. ",xi,INTRODUCTION," M.A., M.B., F.R.C.S. "
,,,xi,INTRODUCTION,West London Hospital and the  Belgrave Hospital for Children. 
,,,xi,INTRODUCTION,116-118 
,,,xi,INTRODUCTION,7 
,,,xi,INTRODUCTION,One of the Examiners. 
,,,xi,INTRODUCTION,Board of Film Censors. 
,,,xi,INTRODUCTION,104-116 
,,,xi,INTRODUCTION,8 
"Mr. John Kay, B.A. ",,,xi,INTRODUCTION,"Mr. John Kay, B.A. "
,,,xi,INTRODUCTION,"Head Master of "" Major Lester ""  Coimty School, Liverpool (Re-  presenting National Union of  Teachers). "
,,,xi,INTRODUCTION,Head Master of Cloudesley L.C.C. 
,,,xi,INTRODUCTION,118-126 
,,,xi,INTRODUCTION,9 
Mr. J. W. BuNN. ,,,xi,INTRODUCTION,Mr. J. W. BuNN. 
,,,xi,INTRODUCTION,126-132 
,,,xi,INTRODUCTION,"School, Islington (Representing "
,,~ ,xi,INTRODUCTION,~ 
,,,xi,INTRODUCTION,National Union of Teachers). 
,,,xi,INTRODUCTION, 10 
,,,xi,INTRODUCTION,Miss Margery Fox. 
,,,xi,INTRODUCTION,Representing the Head Mistresses'  Association. 
,,,xi,INTRODUCTION,132-138 
,,,xi,INTRODUCTION,11 
,,,xi,INTRODUCTION,"The Rev. The Hon. E.  Lyttelton, M.A., D.D. "
,,,xi,INTRODUCTION,Head Master of Eton. 
,,,xi,INTRODUCTION,138-142 
,,,xi,INTRODUCTION,12 
,,,xi,INTRODUCTION,"The Very Rev. W.  Moore-Ede, D.D. "
,,,xi,INTRODUCTION,Dean of Worcester. 
,,,xi,INTRODUCTION,143-151 
,,,xi,INTRODUCTION,13 
,,,xi,INTRODUCTION,"Sir Robert Wallace, "
,,,xi,INTRODUCTION,Chairman of the County of London 
,,,xi,INTRODUCTION,151-156 
,, K.C. ,xi,INTRODUCTION, K.C. 
,,,xi,INTRODUCTION,Sessions. 
,,,xi,INTRODUCTION, 14 
"Mr. Spurley Hey, B.A. ",,,xi,INTRODUCTION,"Mr. Spurley Hey, B.A. "
,,,xi,INTRODUCTION,"Director of Education, Manchester. "
,,,xi,INTRODUCTION,157-171 
,,,xi,INTRODUCTION,15 
Mr. Edward Nicholls. ,,,xi,INTRODUCTION,Mr. Edward Nicholls. 
,,,xi,INTRODUCTION,Director of Music for Cinema  Theatres. 
,,,xi,INTRODUCTION,171-174 
,,,xi,INTRODUCTION,16 
"Mr. Roderick Ross,  M.V.O. ",,,xi,INTRODUCTION,"Mr. Roderick Ross,  M.V.O. "
,,,xi,INTRODUCTION,Chief Constable of Edinburgh. 
,,,xi,INTRODUCTION,175-183 
,,,xi,INTRODUCTION,17 
,,,xi,INTRODUCTION,Rev. Thomas Horne. 
,,,xi,INTRODUCTION,"Rector of Syresham, North Hants,  and Senior Chaplain of the Show-  men's Guild of Great Britain  and Ireland. "
,,,xi,INTRODUCTION,183-185 
,,,xi,INTRODUCTION,18 
Mr. Cecil Leeson. ,,,xi,INTRODUCTION,Mr. Cecil Leeson. 
,,,xi,INTRODUCTION,Secretary of the Howard Associa-  tion.  Council of Kinematograph Manu- 
,,,xi,INTRODUCTION,186-191 
,,,xi,INTRODUCTION,19 
Mr. W. Arthur Nort- ,,,xi,INTRODUCTION,Mr. W. Arthur Nort- 
,,,xi,INTRODUCTION,191-197 
,,,xi,INTRODUCTION, ham. 
,,,xi,INTRODUCTION,facturers and the Renters' Asso-  ciation 
,,,xi,INTRODUCTION, 20 
,,,xi,INTRODUCTION,School Children. 
,,,xi,INTRODUCTION, 197-203 
,,,xii,INTRODUCTION,## p. xii  Xll 
,,LIST OF WITNESSES ,xii,INTRODUCTION,LIST OF WITNESSES 
,,,xii,INTRODUCTION,No. 
,,,xii,INTRODUCTION,Name 
,,,xii,INTRODUCTION, Page 
,,,xii,INTRODUCTION,21 
